claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
C-001,Positive Testing,Finance to Servers TCP/443 allowed,pcaps/allowed_paths.pcap,TCP SYN-ACK from 10.51.50.10:443,2026-08-10T14:00:00Z,,Stateful firewall permits finance payroll traffic,Does not prove application-layer authentication,high,Connection could succeed due to missing deny rule rather than explicit allow,confirmed
C-002,Negative Testing,Users to Servers TCP/5432 denied,pcaps/denied_paths.pcap,NF_SEGMENT_DENY counter increment,2026-08-10T14:00:00Z,,Default deny blocks unauthorized database access,Does not prove all database ports are blocked,high,Timeout could indicate network issue rather than policy deny,confirmed
C-003,Positive Testing,Management SSH access to all internal zones,test-results.xml,test_management_ssh_access_allowed PASSED,2026-08-10T14:00:00Z,,Management zone has administrative SSH access,Does not prove SSH authentication works,high,Test verifies TCP connection only not full SSH handshake,confirmed
C-004,Stateful Testing,Anti-spoofing drops forged source IPs,test-results.xml,test_spoofed_source_ip_denied PASSED + NF_SPOOF_DENY counter,2026-08-10T14:00:00Z,,Anti-spoofing rules prevent cross-zone source IP forgery,Does not prove all spoofing vectors are covered,high,Packet could be dropped by routing rather than anti-spoof rule,confirmed
C-005,Observability,Sensor receives mirrored traffic via tc,evidence/suricata-logs/eve.json,flow records from mirrored interfaces,2026-08-10T14:00:00Z,,tc mirror sends traffic copies to passive sensor,Does not prove all packets are captured without loss,high,Suricata logs could be from direct traffic not mirror,confirmed
C-006,Observability,Sensor cannot initiate production traffic,test-results.xml,test_sensor_cannot_initiate_traffic PASSED,2026-08-10T14:00:00Z,,Sensor is passive and cannot reach protected zones,Does not prove sensor is fully isolated at L2,high,Connection failure could be routing not policy,confirmed
C-007,Fault Recovery,F-001 established return handling removed,pcaps/fault1_established_failure.pcap + fault-recovery-log.md,SYN-ACK dropped at gateway NF_SEGMENT_DENY,2026-08-10T14:00:00Z,,Removing ct state established rule breaks TCP handshake return path,Does not prove all stateful paths are affected,high,Timeout could be caused by other factors,confirmed
C-008,Fault Recovery,F-002 management ingress broadened to Users,pcaps/fault2_broadened_ingress.pcap + fault-recovery-log.md,Users SSH to Servers TCP/22 succeeds,2026-08-10T14:00:00Z,,Over-permissive ACL grants unauthorized SSH to Users zone,Does not prove all management paths are affected,high,SSH success could be from another rule,confirmed
C-009,Fault Recovery,F-003 DMZ sensor mirror rule deleted,fault-recovery-log.md,tc filter show dev eth8 ingress empty output,2026-08-10T14:00:00Z,,Missing tc filter blinds sensor to DMZ interface traffic,Does not prove other interfaces are unaffected,high,Empty filter output could be parsing error,confirmed
C-010,Fault Recovery,F-004 asymmetric return path for finance,pcaps/fault4_asymmetric_return.pcap + fault-recovery-log.md,Return SYN-ACK via core eth1 instead of eth5,2026-08-10T14:00:00Z,,Asymmetric routing breaks stateful firewall conntrack matching,Does not prove all asymmetric paths cause failure,high,Timeout could be caused by route black-hole,confirmed
